ID	length	molecular_weight	instability	hydrophobicity	aliphatic	pI	charge
ACI12455.1 lysin A [Mycobacterium phage Konstantine]	321	35474.96514	30.1476635514019	-0.440809968847352	69.6261682242991	5.98002029786775	-4.54869271700217
ADA83737.1 lysin A [Mycobacterium phage SkiPole]	470	52649.12384	36.0206382978723	-0.411063829787234	78.1914893617021	6.44478864742941	-5.21367804928733
AEF57209.1 lysin A [Mycobacterium phage Faith1]	316	34923.98704	21.8965189873418	-0.431012658227848	76.2341772151899	5.08176666996584	-7.57691643422292
AEJ93402.1 lysin A [Mycobacterium phage Benedict]	313	34857.74604	44.473482428115	-0.385623003194888	82.2364217252396	8.08702263474044	1.47549068092035
AEJ93989.1 lysin A [Mycobacterium phage Thibault]	458	51332.50864	34.5257641921397	-0.502401746724891	71.6375545851528	6.44347435636761	-5.33274566919318
AEK07481.1 lysin A [Mycobacterium phage Send513]	489	55101.85894	25.998773006135	-0.590593047034765	69.7955010224949	5.96022934600166	-9.1807195834791
AEK32601.1 lysin A [Mycobacterium phage George]	305	33580.09104	41.7177049180328	-0.357377049180328	79.2459016393443	7.01939009773233	-0.83098045211761
AEL98189.1 lysin A [Mycobacterium phage BigNuz]	315	34221.52434	26.3203174603175	-0.332063492063492	73.3968253968254	4.79710100684573	-9.70545096045756
AEO94248.1 lysin A [Mycobacterium phage Dreamboat]	489	54231.05064	31.5443762781186	-0.295910020449898	79.5705521472393	6.59252546096948	-4.15310626626196
AER47898.1 lysin A [Mycobacterium phage Courthouse]	462	51135.38344	33.6311688311688	-0.330735930735931	74.6753246753247	6.44063224215996	-5.33928458756746
AER48403.1 lysin A [Mycobacterium phage Babsiella]	317	34668.91504	33.9372239747634	-0.41198738170347	66.813880126183	5.16559245628735	-7.56021801990329
AEV51839.1 putative lysin [Rhodococcus phage RRH1]	244	26764.13574	45.7454918032787	-0.416393442622951	75.983606557377	9.72481958923963	4.77360312679904
AEV51988.1 lysin [Rhodococcus phage REQ3]	250	27498.95344	44.0804	-0.404	73.68	6.51866053146517	-1.75422362092072
AFM54988.1 lysin A [Mycobacterium phage Astro]	226	25867.51594	38.4907079646018	-0.475221238938053	75.0884955752212	7.04324744920914	-0.713640921650101
AGK87940.1 lysin A [Mycobacterium phage Severus]	498	55897.05074	41.7196787148594	-0.363453815261044	81.004016064257	5.67530678047188	-9.41652870188642
AGT12634.1 lysin A [Mycobacterium phage Whirlwind]	490	54589.02234	27.8602040816327	-0.384081632653061	72.2448979591837	5.91709379971469	-6.54874885030773
AGT13385.1 putative lysin [Bacillus phage Wip1]	213	24275.88774	23.3934272300469	-0.745539906103286	65.3990610328638	6.52494970620871	-1.68557066052359
AHJ88620.1 lysin [Geobacillus phage GBK2]	215	24310.14804	20.4902325581395	-0.545581395348837	79.3953488372093	10.112818194978	12.2183375894484
AHN84049.1 lysin A [Mycobacterium phage Hawkeye]	325	35559.98644	31.0283076923077	-0.427692307692308	75.3230769230769	5.19395135080603	-6.64326462509447
AKJ71642.1 putative lysin [Skermania phage SPI1]	260	28558.47024	35.7719230769231	-0.307307692307692	79.6538461538461	6.13782191975928	-2.74100396057009
ALA48444.1 lysin A [Mycobacterium phage Lolly9]	491	54947.45524	31.835234215886	-0.462321792260692	73.2586558044806	5.06171871326041	-10.7165554991004
ASU00823.2 putative lysin [Nocardia phage NTR1]	281	30914.63324	33.8355871886121	-0.55373665480427	69.9288256227758	4.90001608852736	-7.73737600929289
AVE00605.1 lysin A, peptidase domain [Mycobacterium phage Phergie]	108	12399.95744	57.2101851851852	-0.964814814814815	54.3518518518518	12.5399518318227	17.6358795270195
AWY06653.1 lysin A [Microbacterium phage Zeta1847]	294	30714.01004	28.0343537414966	-0.153401360544218	82.108843537415	10.5035509919948	14.3972376639567
AXH70418.1 lysin A, protease C39 domain [Gordonia phage Daredevil]	211	23209.77124	49.4682464454976	0.0540284360189573	98.9099526066351	8.22494888130716	1.42688139556971
AXH70419.1 lysin A, L-Ala-D-Glu peptidase domain [Gordonia phage Daredevil]	306	34156.17374	18.062091503268	-0.452941176470588	77.1895424836601	5.48021962030661	-5.63965157054775
AYD86177.2 lysin A [Microbacterium phage Burro]	323	35320.60614	25.8421052631579	-0.618266253869969	70.9907120743034	10.1318267410372	13.669573878444
AYD87370.1 lysin A [Microbacterium phage ValentiniPuff]	325	34738.48734	17.5966153846154	-0.350769230769231	68.7692307692308	10.7769292248497	23.3893626613979
QBP33255.1 lysin A, protease C39 domain [Gordonia phage BrutonGaster]	210	23080.09104	40.2966666666667	-0.370952380952381	72.5238095238095	7.98526815778934	1.39556745029732
QBP33256.1 lysin A, l-ala d-glu peptidase domain [Gordonia phage BrutonGaster]	307	34310.62974	23.4042345276873	-0.469381107491857	77.2964169381108	6.96487980518406	-1.36818659429168
QCG78325.1 lysin A [Microbacterium phage Akoni]	323	35484.89044	27.4588235294118	-0.477708978328173	70.6811145510836	9.44321334363609	7.54773260182908
QIG74324.1 putative lysin A protein [Rhizobium phage RHph_N65]	228	24188.13034	42.2535087719298	-0.376754385964912	65.3070175438596	8.8212808430579	1.19008277858928
UTN91193.1 lysin A, protease M23 domain [Gordonia phage PokyPuppy]	278	29836.37104	26.5974820143885	-0.497841726618705	68.8848920863309	9.5290725700097	4.55849088084609
WEV84071.1 lysin A [Mycobacterium phage Muddy]	315	34914.53174	33.0206349206349	-0.391111111111111	74	5.64813541078896	-6.45988507329276
WLV27499.1 lysin [Pseudomonas phage Hadban]	221	23386.58044	18.6289592760181	-0.440723981900453	63.9366515837104	10.5982437410884	13.9121596869777
AAS19387.1 endolysin [Escherichia phage T5]	137	15264.22584	35.7810218978102	-0.494890510948905	76.2773722627737	8.85296227516846	1.28182870833399
ADC81141.1 Gp19 [Salmonella phage ST160]	132	14948.31164	37.2037878787879	-0.435606060606061	87.1212121212121	10.440600254035	5.28417932399373
ASD50196.1 lysozyme [Shigella phage SSP1]	137	15479.44084	41.0569343065693	-0.564233576642336	77.5912408759124	7.84739252134548	0.375911729792973
AUG85448.1 lysozyme [Acinetobacter phage SH-Ab 15497]	209	23287.73994	33.2043062200957	-0.360765550239234	77.9425837320574	9.11596576133872	3.16449285334677
BAC55289.1 unnamed protein product [Thermus virus IN93]	196	21711.79334	43.2704081632653	-0.296428571428571	76.0204081632653	8.65162350059919	2.517228483512
CCI88461.1 lysozyme [Yersinia phage phiR2-01]	137	15361.17794	36.2058394160584	-0.58029197080292	71.970802919708	8.92365235307054	1.28133930590725
WP_172820904.1 glycoside hydrolase family protein [Cyanobium sp. NIES-981]	440	48495.77644	44.2645454545455	-0.283863636363636	82.7272727272727	7.9640673722628	2.07163577756126
WP_196762787.1 MULTISPECIES: transglycosylase SLT domain-containing protein [Acidithiobacillus]	482	49098.10994	40.9960580912863	-0.0045643153526971	83.8381742738589	7.52692293462269	0.342523622402685
